,0
의견,13
트윗,9
시간,8
사용자,8
기사,6
연속성,6
감정,5
키,5
축소,5
작성자,4
주체,4
플레이어,4
성장,4
코멘트,4
평가,4
서비스,4
글,4
대선,4
언급,4
사건,4
축적,3
확산,3
포스팅,3
장소,3
발생,3
흐름,3
후보,3
워드,2
특정,2
심리,2
표현,2
유명인,2
주제,2
루머,2
사고,2
태도,2
뉴스,2
칠레,2
과정,2
반복,2
패턴,2
기간,2
대상,2
빈도,2
변화,2
대지진,2
지역,2
트위터,2
연속,2
따라서,1
점점,1
원본,1
작성,1
극성,1
클린턴,1
지남,1
함성,1
장축,1
전개,1
양,1
도수,1
함축,1
적발,1
토픽,1
빈,1
구조,1
웨이보,1
자,1
전하,1
힐러리,1
속성,1
데이터,1
여러,1
추출,1
메시지,1
관련,1
공략,1
정책,1
복합,1
트럼프,1
제공,1
포함,1
자료,1
오디오,1
비디오,1
미국,1
제품,1
마이크로소프트,1
사람,1
정치,1
경쟁,1
도널드,1
일반인,1
단체,1
판단,1
내용,1
독자,1
캡션,1
저널리즘,1
소식,1
