,0
의견,56
시간,43
분석,35
탐색,34
감정,34
트윗,32
정보,31
비교,28
감성,24
시각,24
사용자,23
키,23
워드,23
패턴,22
서로,21
극성,21
평가,19
요약,18
내용,18
분류,18
텍스트,16
함각,16
여러,16
데이터,15
변화,14
포스팅,14
관련,14
사람,13
대상,13
유저,13
파악,12
확산,12
탐지,11
뉴스,11
과정,10
수집,10
통해,10
글,9
인물,9
이벤트,9
토픽,9
사건,9
다른,8
활동,8
기록,8
개인,8
정리,8
그룹,8
리뷰,8
주제,8
수준,8
작성자,8
서비스,7
특정,7
흐름,7
감지,7
제품,7
그,7
제공,7
루머,7
논쟁,7
은행,6
소셜,6
포함,6
대통령,6
두,6
별,6
발생,6
관점,6
구간,6
포스트,6
보유,6
확인,5
측면,5
관계,5
코멘트,5
기간,5
묘사,5
물,5
가지,5
속성,5
분열,5
댓글,5
축적,5
기사,5
미디어,5
기관,5
해당,5
양,5
행동,4
커뮤니티,4
블로그,4
메시지,4
어휘,4
업무,4
증거,4
처리,4
게시,4
이용,4
리트윗,4
