,0
시간,14
트윗,12
분석,12
정보,7
토픽,7
루머,7
관련,6
워드,6
키,6
뉴스,6
탐색,6
패턴,5
의견,5
비교,5
내용,5
발생,4
서로,4
사건,4
요약,4
사람,4
함각,4
사용자,4
과정,3
포스팅,3
연속성,3
감정,3
영향,3
평가,3
협력,3
코멘트,3
확산,3
시각,3
극성,3
주제,3
여러,3
정리,3
변화,3
텍스트,2
지역,2
구간,2
분열,2
기록,2
가장,2
대상,2
흐름,2
가지,2
장소,2
제공,2
다른,2
단계,2
양,2
경쟁,2
축적,2
특정,2
자주,2
발행,1
기사,1
태도,1
도수,1
빈,1
등장,1
각각,1
활동,1
화합,1
행동,1
그,1
개념,1
파악,1
감성,1
추이,1
참가자,1
구조,1
확인,1
역할,1
변동성,1
기간,1
그룹,1
변환,1
랭크,1
유저,1
무시,1
작성,1
부분,1
퍼뜨림,1
처리,1
질책,1
측면,1
분쟁,1
정치,1
대선,1
문장,1
제시,1
후보,1
여부,1
인지,1
다수,1
모두,1
감지,1
논쟁,1
토론자,1
