,0
의견,72
평가,37
감정,36
트윗,35
작성자,34
글,34
사건,33
시간,29
축적,28
주체,25
키,25
사람,25
사용자,24
서비스,20
시작,20
연속성,19
소멸,19
축소,17
제품,17
성장,15
워드,14
장소,14
플레이어,13
관련,13
대상,12
포스팅,12
대선,12
속성,12
입장,12
주제,11
사고,10
태도,10
과정,10
기사,9
유저,9
복합,9
표현,9
리트윗,9
기간,9
수집,8
커뮤니티,8
언급,8
토론,8
특정,7
심리,7
리뷰,7
변화,7
작성,6
반복,6
일반인,6
단체,6
코멘트,6
은행,6
후보,6
텍스트,6
공유,6
연속,6
행동,6
정치인,5
여러,5
기록,5
블로그,5
댓글,5
패턴,5
성격,5
메시지,5
진행,5
확산,5
전자기기,5
빈도,5
영상,4
흐름,4
장축,4
등장,4
데이터,4
롬니,4
정보,4
물,4
오바마,4
이벤트,4
사진,4
어휘,4
뉴스,4
미국,4
포스트,4
소셜,4
극성,4
트럼프,4
회의,4
유명인,4
테그,4
함축,4
해시,4
발생,4
따라서,3
포함,3
만족도,3
이용,3
장면,3
미디어,3
