,0
색상,94
크기,43
따라서,40
달라짐,38
위치,36
워드,34
키,34
극성,28
감정,27
부정,26
긍정,25
의견,23
트윗,22
명암,22
방향,19
강의,18
색,18
빨강,17
모양,16
유저,15
시간,15
초록,14
폭,14
중립,13
패턴,13
넓이,13
언급,12
결정,12
포함,12
빈도,11
수록,11
서로,11
다른,11
도,10
텍스트,10
버블,10
나뭇가지,10
사용,10
노랑,10
수집,9
표현,9
강도,9
기사,9
파랑,9
계열,9
양,9
중심,9
경우,9
가지,8
이면,8
특정,8
깃털,8
댓글,8
관련,8
꽃잎,8
나타남,7
등장,7
두,7
정보,7
수가,7
잎,7
관계,7
커뮤니티,7
그룹,7
높이,7
참가자,7
평가,7
주황,6
사이,6
포스팅,6
종류,6
변화,6
값,6
정도,6
사용자,6
해당,6
짐,6
인산염,6
면적,6
시,6
진영,6
사람,5
노드,5
진행,5
연결,5
아래,5
기간,5
이벤트,5
감성,5
주제,5
거리,5
시킴,5
위,5
비례,5
브랜드,5
원,4
빨간색,4
블록,4
뉴스,4
스코어,4
