,0
색상,18
강의,17
폭,13
따라서,8
달라짐,8
트윗,6
감정,6
극성,6
양,5
수집,4
워드,4
다리,4
부정,4
긍정,4
키,4
블록,4
위치,4
토픽,4
계열,4
시간,3
특정,3
강물,3
명암,3
경우,2
뉴스,2
성향,2
무늬,2
색,2
링,2
루머,2
평가,2
장식,2
높이,2
패턴,2
생,2
방향,2
시계,2
지류,2
시킴,2
강,2
시,2
두께,2
새,2
텍스트,2
빈도,2
수록,2
넓이,2
크기,2
사용,2
주제,2
일,2
속성,2
진행,2
최근,2
강도,2
중립,2
파랑,2
도,2
유형,1
둘,1
의견,1
에이전트,1
라인,1
대각선,1
보유,1
모양,1
클라이언트,1
질감,1
우위,1
누가,1
주체,1
도수,1
빈,1
언급,1
플러스,1
기하,1
사각형,1
도형,1
두,1
날짜,1
북쪽,1
도의,1
변화,1
함링,1
윗쪽,1
아랫쪽,1
서로,1
끼리,1
상태,1
이해,1
복합,1
검색,1
플레이어,1
변형,1
분홍색,1
유명인,1
회색,1
적용,1
나타남,1
가지,1
